N,M,COLUMN_GEN,ALGORITHM,CG_LOWER,CG_UPPER,DIFF_LOWER,DIFF_UPPER,TRUE_VALUE,CG_TIME,ALGORITHM_TIME,CG_LOWER_Ite,CG_UPPER_Ite,CG_BOUNDS_SIZE
1,1,True,True,0.1086605804275036,0.1265890871026321,0.0,0.0,0.1171917911894629,0.7493689060211182,0.6611485481262207,7,6,0.0179285066751285
2,1,True,True,0.5392634111615854,0.7419654701502312,-1.1102230246251565e-16,-1.1102230246251565e-16,0.5436005762531598,0.2708325386047363,1.5487709045410156,13,14,0.2027020589886458
4,1,True,True,0.5351128708645817,0.7650154552404693,1.1102230246251565e-16,0.0,0.537534671386244,15.974915266036987,410.5595738887787,77,107,0.2299025843758876
3,1,True,True,0.103558376578837,0.1237810221002596,0.0,-9.71445146547012e-17,0.1153011202211446,1.814950704574585,106.1864252090454,46,34,0.0202226455214226
5,1,True,True,0.0978618223182011,0.1197645273392433,0.0,-1.1102230246251565e-16,0.1098483963019052,1047.4450447559357,7173.897311925888,393,227,0.0219027050210422
1,2,True,True,0.1088708261390327,0.1284330017500451,0.0,0.0,0.1188817894098154,0.2155706882476806,4.649351835250855,16,11,0.0195621756110123
2,2,True,True,0.5519973583443178,0.6177122974940128,0.0,-1.1102230246251565e-16,0.5559538150681963,0.8666749000549316,2493.832186460495,40,36,0.0657149391496949
3,2,True,False,0.0956569519218699,0.1174558366096758,,,0.1063070857158052,94.49185252189636,,198,165,0.0217988846878059
4,2,True,False,0.5466229765799904,0.6219607069304802,,,0.5535806901826457,4359.927187681198,,834,599,0.0753377303504898
1,3,True,True,0.1070292491510871,0.1268536758574683,0.0,-1.1102230246251565e-16,0.1167325030034066,0.2066023349761962,4206.929769039154,86,55,0.0198244267063812
2,3,True,False,0.546848429700399,0.6151657515364246,,,0.5516032221777836,6.642606019973755,,142,119,0.0683173218360255
3,3,True,False,0.1033319849907599,0.1233096798134711,,,0.1155147332268303,3138.142383813858,,1651,1591,0.0199776948227112
