N,M,ALGO_LOWER_BOUND,ALGO_UPPER_BOUND,ALGO_BOUNDS_SECONDS_TAKEN,ALGO_BOUNDS_SIZE,LOWER_BOUND,LOWER_BOUND_REQUIRED_ITERATIONS,UPPER_BOUND,TOTAL_SECONDS_TAKEN,UPPER_BOUND_REQUIRED_ITERATIONS,BOUNDS_SIZE,TRUE_VALUE,difference
1,1,0.1086605804275036,0.1265890871026321,0.6611485481262207,0.0179285066751284,0.1086605804275036,7.0,0.1265890871026321,0.7493689060211182,6.0,0.0179285066751285,0.1171917911894629,9.71445146547012e-17
2,1,0.5392634111615855,0.7419654701502313,1.5487709045410156,0.2027020589886458,0.5392634111615854,13.0,0.7419654701502312,0.2708325386047363,14.0,0.2027020589886458,0.5436005762531598,0.0
3,1,0.103558376578837,0.1237810221002597,106.1864252090454,0.0202226455214226,0.103558376578837,46.0,0.1237810221002596,1.814950704574585,34.0,0.0202226455214226,0.1153011202211446,0.0
4,1,0.5351128708645816,0.7650154552404693,410.5595738887787,0.2299025843758877,0.5351128708645817,77.0,0.7650154552404693,15.974915266036987,107.0,0.2299025843758876,0.537534671386244,-1.1102230246251565e-16
5,1,0.0978618223182011,0.1197645273392434,7173.897311925888,0.0219027050210422,,,,,,,0.1098483963019052,
1,2,0.1088708261390327,0.1284330017500451,4.649351835250855,0.0195621756110123,0.1088708261390327,16.0,0.1284330017500451,0.2155706882476806,11.0,0.0195621756110123,0.1188817894098154,0.0
2,2,0.5519973583443178,0.6177122974940129,2493.832186460495,0.065714939149695,0.5519973583443178,40.0,0.6177122974940128,0.8666749000549316,36.0,0.0657149391496949,0.5559538150681963,-1.1102230246251565e-16
1,3,0.1070292491510871,0.1268536758574684,4206.929769039154,0.0198244267063812,,,,,,,0.1167325030034066,
3,2,,,,,,,,,,,0.1063070857158052,
4,2,,,,,,,,,,,0.5535806901826457,
2,3,,,,,,,,,,,0.5516032221777836,
3,3,,,,,,,,,,,0.1155147332268303,
